Table S10: Non-neutral and/or non-singlet molecules, HF/pcseg-1: fraction f of electron density covered.

  Molecule     GWH         CORE        SAD     SADNO            HUCKEL        GSZ     LDA-X        CAP-X             CHA-X

     cch       0.517       0.681       0.832       0.957         0.944        0.930       0.963        0.962           0.963
 cyclopropyl   0.498       0.582       0.871       0.960         0.964        0.920       0.960        0.958           0.962
    ch2ch      0.530       0.637       0.851       0.951         0.953        0.930       0.964        0.963         0.965
    bn3pi      0.601       0.661       0.790       0.898         0.899        0.893       0.935        0.912         0.965
  Ti(BH4)3     0.560       0.518       0.898       0.965         0.942        0.807       0.955        0.959           0.964
      ch       0.507       0.724       0.735       0.827         0.927        0.833       0.966        0.861           0.861
     allyl     0.517       0.607       0.868       0.963         0.967        0.927       0.962        0.961           0.964
  Cu(acac)2    0.573       0.597       0.895       0.949         0.968        0.919       0.937        0.922           0.950
 V(NMe2)4      0.510       0.526       0.888       0.967         0.972        0.836       0.953        0.965           0.945
    ch3nh      0.532       0.619       0.860       0.948         0.956        0.929       0.972        0.971         0.973
    h2cn       0.562       0.634       0.849       0.950         0.954        0.938       0.973        0.972         0.974
      cn       0.544       0.693       0.830       0.956         0.946        0.960       0.974        0.973           0.973
   ch2nh2      0.529       0.638       0.869       0.960         0.966        0.938       0.973        0.972         0.974
   t-hooo      0.563       0.688       0.886       0.955         0.962        0.937       0.975        0.975         0.976
     ch3       0.472       0.680       0.839       0.957         0.964        0.937       0.977        0.976           0.977
    h2ccn      0.565       0.634       0.863       0.961         0.963        0.895       0.976        0.975         0.977
      oh       0.595       0.691       0.856       0.899         0.870        0.881       0.977        0.946           0.891
     clo       0.746       0.796       0.936       0.963         0.973        0.949       0.967        0.973         0.979
      hs       0.804       0.815       0.927       0.949         0.980        0.933       0.940        0.980           0.942
    hcnh       0.540       0.652       0.857       0.964         0.960        0.957       0.980        0.979         0.980
   c-hooo      0.564       0.686       0.888       0.959         0.968        0.948       0.983        0.983           0.983
  n2h          0.540    0.624       0.856       0.964           0.962         0.966   0.986             0.985           0.986
   sif         0.761    0.808       0.908       0.974           0.988         0.941    0.952            0.955           0.953
ch2-trip       0.547    0.726       0.796       0.964           0.968         0.962   0.989             0.988           0.988
  h2no         0.555    0.678       0.884       0.963           0.970         0.961    0.989            0.988       0.989
   so          0.745    0.802       0.919       0.983           0.989         0.971    0.990            0.989       0.990
  nh2          0.528    0.635       0.832       0.963           0.969         0.967   0.991             0.990           0.990
  hco          0.586    0.682       0.871       0.974           0.972         0.975   0.991             0.990           0.991
   no          0.580    0.704       0.871       0.934           0.925         0.981    0.971        0.991               0.978
  hoo          0.578    0.687       0.884       0.964           0.971         0.976   0.993             0.993           0.993
  no2          0.584    0.678       0.899       0.976           0.979         0.983    0.994            0.994       0.995
  ssh          0.800    0.830       0.943       0.981           0.984         0.981    0.995            0.995       0.995
   cf          0.633    0.726       0.872       0.939           0.917         0.927    0.996            0.954       0.997
   s2          0.819    0.855       0.942       0.989           0.992         0.991    0.997            0.997       0.997
   o2          0.591    0.706       0.885       0.981           0.988         0.988   0.997             0.997           0.997
   nh          0.600    0.768       0.787       0.855           0.978         0.987   0.997             0.997           0.997
  sih          0.799    0.832       0.876       0.866           0.938         0.922   0.998             0.995           0.934
  Best          0           0           0           1             6            0           14            1               15

