 Table S11: Neutral singlet molecules, revTPSSh/pcseg-1: fraction f of electron density covered.

 Molecule           GWH         CORE        SAD     SADNO        HUCKEL            GSZ          LDA-X        CAP-X         CHA-X

   ED14             0.571       0.588       0.896       0.950         0.960        0.833        0.929           0.931           0.931
    ch4             0.471       0.637       0.871       0.952         0.959        0.906        0.962           0.961         0.962
Mn(CO)5CN           0.569       0.547       0.891       0.961         0.963        0.902        0.959        0.963              0.962
   b2h6             0.495       0.564       0.864       0.941         0.945        0.901        0.961           0.960         0.963
Ni(C5H5)NO          0.613       0.617       0.893       0.964         0.962        0.870        0.962           0.962           0.963
tetrahedrane        0.513       0.616       0.879       0.961         0.963        0.937        0.963           0.961         0.965
   c2h6             0.467       0.598       0.877       0.959         0.966        0.903        0.957           0.955           0.959
    PR04        0.586   0.569   0.893   0.967        0.961     0.870    0.934     0.935     0.942
    ED04        0.599   0.588   0.891   0.967        0.956     0.869    0.947     0.949     0.958
Co(C3H5)(CO)3   0.582   0.569   0.893    0.965       0.960     0.840    0.961     0.965     0.967
 cyclopropane   0.487   0.566   0.880    0.961      0.967      0.914    0.957     0.955     0.960
Cr(C6H6)(CO)3   0.563   0.577   0.894    0.966      0.968      0.795    0.942     0.950     0.955
   propene      0.499   0.595   0.877    0.963      0.968      0.916    0.962     0.960     0.964
    PR05        0.563   0.551   0.894    0.963       0.964     0.880    0.965    0.968      0.968
Fe(CO)4(C2H4)   0.573   0.555   0.894   0.968        0.959     0.846    0.962     0.966     0.967
Fe(C2H4)(CO)4   0.573   0.556   0.894    0.968       0.959     0.850    0.964     0.968     0.968
   propane      0.487   0.588   0.880    0.962      0.969      0.897    0.954     0.952     0.957
  cyclobutene   0.503   0.593   0.879    0.963      0.969      0.921    0.959     0.957     0.962
 cyclopropene   0.504   0.596   0.874    0.963       0.966     0.937    0.967     0.966     0.969
Mn(C5H5)(CO)3   0.574   0.577   0.894   0.969        0.962     0.788    0.937     0.945     0.947
 MnCp(CO)3      0.575   0.565   0.894   0.969        0.962     0.788    0.934     0.941     0.944
   oxetane      0.527   0.625   0.886    0.960       0.968     0.926    0.966     0.965     0.969
Fe(C4H6)(CO)3   0.571   0.561   0.893   0.970        0.960     0.806    0.947     0.955     0.957
    ch3nh2      0.503   0.624   0.877    0.959       0.966     0.924    0.968     0.967     0.970
Fe(C4H4)(CO)3   0.584   0.578   0.894   0.970        0.958     0.818    0.939     0.945     0.951
    PR14        0.543   0.549   0.897    0.961      0.970      0.793    0.948     0.955     0.923
    ethanol     0.549   0.637   0.888    0.962       0.968     0.923    0.968     0.967     0.970
Fe(CO)3(tmm)    0.574   0.563   0.893   0.970        0.959     0.807    0.935     0.943     0.949
   n-butane     0.494   0.591   0.882    0.964      0.970      0.887    0.953     0.952     0.956
 Mn(NO)3CO      0.567   0.619   0.895    0.970       0.966     0.922    0.967    0.970      0.969
     c2h4       0.493   0.643   0.870    0.964       0.968     0.935    0.969     0.968     0.970
 cyclobutane    0.494   0.567   0.882    0.964      0.970      0.902    0.951     0.950     0.956
    FeCp2       0.595   0.586   0.895   0.971        0.956     0.893    0.954     0.956     0.959
   propyne      0.506   0.607   0.875    0.963       0.965     0.928    0.969     0.968     0.971
  n-pentane       0.509   0.593   0.883    0.965      0.971      0.849    0.953     0.952     0.955
    PR40          0.620   0.605   0.912    0.970      0.971      0.884    0.957     0.960     0.967
    ED15          0.603   0.594   0.890    0.956       0.958     0.928    0.969     0.970     0.971
  Ni(C3H5)2       0.604   0.594   0.889    0.955       0.958     0.930    0.970     0.970     0.972
cyclobutadiene    0.519   0.623   0.872    0.968      0.972      0.944    0.969     0.968     0.971
cyclopentadiene   0.511   0.616   0.883    0.968      0.972      0.929    0.963     0.962     0.966
  t-butadiene     0.520   0.599   0.877    0.968      0.972      0.923    0.964     0.963     0.966
Fe(CO)2(NO)2      0.582   0.609   0.894   0.973        0.962     0.935    0.970     0.972     0.971
    borole        0.543   0.607   0.871    0.913      0.973      0.889    0.967     0.966     0.969
    allene        0.527   0.598   0.874    0.962       0.966     0.946    0.971     0.970     0.973
    PMe3          0.567   0.567   0.902    0.968      0.973      0.895    0.968     0.967     0.969
    ED05          0.575   0.573   0.894    0.965       0.963     0.895    0.971     0.973     0.974
  VCp(CO)4        0.553   0.553   0.895    0.963      0.974      0.779    0.929     0.941     0.938
  beta-lactim     0.543   0.648   0.889    0.963       0.969     0.927    0.971     0.970     0.974
 Mn(CO)4NO        0.571   0.573   0.894    0.965       0.964     0.917    0.972    0.974      0.973
     c2h5f        0.570   0.658   0.903    0.966       0.972     0.910    0.972     0.971     0.974
    ED28          0.598   0.593   0.904    0.970      0.975      0.880    0.964     0.965     0.963
    ED27          0.593   0.577   0.906    0.970      0.975      0.900    0.967     0.968     0.968
Fe(C5Me5)(P5)     0.638   0.660   0.916   0.975        0.966     0.817    0.895     0.898     0.895
     ch2c         0.526   0.661   0.836    0.957       0.959     0.930    0.975     0.974     0.975
  Cr(C6H6)2       0.581   0.569   0.895   0.976        0.965     0.876    0.960     0.963     0.965
    pyrrole       0.517   0.639   0.888    0.972      0.976      0.940    0.969     0.968     0.971
    ED40a         0.562   0.529   0.884    0.957       0.956     0.939   0.976      0.974     0.972
  Sc(acac)3       0.545   0.571   0.901    0.970      0.976      0.828    0.972     0.975     0.961
     silole       0.600   0.670   0.900    0.971      0.976      0.871    0.941     0.939     0.945
    oxirane       0.538   0.650   0.885    0.959       0.965     0.940    0.974     0.973     0.976
     furan        0.546   0.649   0.890    0.970       0.974     0.950    0.974     0.973     0.976
  benzene      0.519   0.633   0.885    0.973      0.976      0.939    0.968     0.967     0.970
 Ni(acac)2     0.571   0.593   0.894    0.956       0.961     0.910   0.976      0.961     0.972
   PR15        0.598   0.611   0.891    0.956       0.960     0.912    0.976     0.976     0.976
acetaldehyde   0.545   0.636   0.886    0.959       0.967     0.916    0.975     0.974     0.977
   PCy3        0.500   0.503   0.895    0.971      0.977      0.740    0.951     0.952     0.949
   ED30        0.567   0.571   0.899    0.974      0.977      0.791    0.966     0.969     0.959
   PR12        0.553   0.535   0.892    0.964       0.967     0.828    0.974    0.977      0.976
   PR02        0.581   0.561   0.895    0.968       0.962     0.925    0.975    0.977      0.977
   ED31        0.531   0.540   0.897    0.975      0.977      0.782    0.957     0.955     0.936
  ch3ph2       0.672   0.684   0.914    0.968       0.973     0.916    0.975     0.974     0.977
 methanol      0.537   0.652   0.887    0.960       0.966     0.940    0.977     0.976     0.977
 dithiotane    0.723   0.740   0.926    0.973      0.978      0.917    0.971     0.969     0.973
  Fe(CO)5      0.582   0.561   0.894    0.968       0.962     0.925    0.976    0.978      0.977
    nh3        0.462   0.669   0.871    0.957       0.966     0.938   0.978      0.977     0.978
   CuCN        0.730   0.707   0.859    0.933       0.956     0.978    0.954     0.947     0.956
   AcCl        0.671   0.741   0.927    0.974      0.978      0.857    0.950     0.948     0.956
 thiophene     0.655   0.681   0.910    0.976      0.979      0.884    0.956     0.955     0.959
   c2clh5      0.679   0.659   0.927    0.975      0.979      0.840    0.965     0.963     0.969
   PhSH        0.625   0.685   0.906    0.976      0.979      0.856    0.910     0.910     0.912
Co(CO)3(NO)    0.590   0.594   0.894    0.972       0.962     0.950    0.978    0.979      0.978
   c2h2        0.516   0.617   0.865    0.971       0.969     0.962   0.980      0.979     0.980
   n2h4        0.501   0.640   0.876    0.961       0.969     0.945    0.979     0.978     0.980
 CoH(CO)4      0.593   0.579   0.896    0.969       0.962     0.934    0.979    0.980      0.980
   c2clh3      0.690   0.687   0.928    0.978      0.981      0.862    0.947     0.945     0.953
  ED40b        0.678   0.657   0.929    0.976      0.981      0.860    0.978     0.978     0.978
   ch2nh       0.548   0.637   0.868    0.963       0.967     0.952    0.980     0.979     0.981
   CuMe        0.730   0.729   0.861    0.941       0.959     0.958    0.980     0.979     0.981
 TiCl2Me2       0.629   0.656   0.934    0.976      0.981      0.833    0.919     0.934     0.951
 dioxetane      0.577   0.651   0.892    0.961       0.966     0.950    0.979     0.978     0.981
   acetic       0.560   0.673   0.898    0.966       0.970     0.937    0.979     0.979     0.981
    bh3         0.511   0.719   0.816    0.948       0.951     0.945    0.981     0.981     0.981
 Zn(CH3)2       0.652   0.650   0.887    0.947       0.964     0.955   0.982      0.981     0.981
   c2h3f        0.577   0.668   0.904    0.971       0.975     0.943    0.981     0.980     0.982
   cclh3        0.711   0.692   0.938    0.978       0.981     0.927    0.981     0.980     0.982
    ocs         0.706   0.795   0.928    0.981      0.982      0.924    0.971     0.969     0.973
   c2clh        0.702   0.743   0.932   0.983        0.981     0.885    0.969     0.967     0.972
  PhSeH         0.678   0.672   0.925    0.980      0.983      0.887    0.928     0.928     0.930
   ketene       0.562   0.672   0.889    0.967       0.971     0.950    0.982     0.982     0.983
   ED02         0.588   0.603   0.889    0.953       0.957     0.940    0.982    0.983      0.983
    clcof       0.687   0.762   0.946   0.984        0.984     0.929    0.979     0.978     0.983
    clcn        0.707   0.772   0.931    0.982       0.981     0.943    0.982     0.981     0.984
 formamide      0.546   0.671   0.894    0.968       0.972     0.941    0.983     0.982     0.984
    ch3f        0.574   0.679   0.910    0.967       0.971     0.951    0.983     0.983     0.984
    cs2         0.778   0.828   0.940    0.982      0.984      0.968    0.983     0.982     0.984
  oxirene       0.563   0.695   0.877    0.960       0.962     0.965    0.984     0.983     0.985
 oxadiazole     0.583   0.660   0.886    0.970       0.975     0.956    0.984     0.983     0.985
   PR01         0.567   0.543   0.893    0.963       0.969     0.905    0.983    0.985      0.985
   PR06         0.561   0.600   0.893    0.962       0.968     0.889    0.982     0.984     0.985
   ccl2o        0.752   0.793   0.953    0.985      0.986      0.948    0.980     0.979     0.983
trans-c2f2cl2   0.694   0.774   0.954    0.986      0.986      0.905    0.972     0.972     0.978
 cis-c2f2cl2    0.707   0.785   0.954    0.986      0.986      0.909    0.973     0.972     0.977
   ch2clf       0.708   0.775   0.945    0.980       0.982     0.910    0.984     0.983     0.986
 Cr(CO)6        0.567   0.544   0.893    0.963       0.969     0.908    0.984    0.986      0.986
 TiCl3Me        0.674   0.693   0.950    0.982      0.986      0.821    0.961     0.965     0.975
     ccl2h2        0.779   0.808   0.955    0.984       0.985     0.945    0.984     0.984     0.986
     c2cl2         0.770   0.818   0.952   0.987        0.986     0.940    0.974     0.973     0.976
      clno         0.708   0.779   0.928    0.980       0.984     0.916    0.980     0.979     0.987
   Ni(PH3)2        0.706   0.703   0.906    0.951       0.958     0.970    0.987    0.987      0.987
       cs          0.761   0.794   0.909    0.984       0.987     0.976   0.987      0.986     0.987
 dioxetan2one      0.582   0.668   0.903    0.967       0.970     0.928    0.985     0.984     0.987
     h2co          0.585   0.666   0.881    0.966       0.970     0.965    0.987     0.987     0.987
     c2cl6         0.755   0.791   0.965    0.986      0.988      0.940    0.974     0.974     0.980
     nh2oh         0.544   0.674   0.884    0.963       0.970     0.960    0.987     0.987     0.988
    glyoxal        0.581   0.713   0.889    0.907       0.974     0.961    0.987     0.986     0.988
     c2cl4         0.757   0.801   0.962    0.987      0.988      0.946    0.975     0.974     0.979
      hccf         0.584   0.714   0.906    0.979       0.977     0.975    0.988     0.988     0.988
   Ni(CO)4         0.595   0.583   0.894    0.965       0.964     0.967    0.987    0.988      0.987
     PR03          0.597   0.583   0.894    0.965       0.964     0.967    0.987    0.988      0.987
     nh2cl         0.723   0.783   0.935    0.978       0.984     0.951    0.987     0.987     0.988
      hnc          0.538   0.666   0.855    0.974       0.973     0.959   0.988      0.987     0.988
     ccl3h         0.810   0.822   0.963    0.986       0.987     0.958    0.986     0.985     0.988
   dioxirane       0.585   0.695   0.886    0.960       0.968     0.961    0.988     0.987     0.988
      h2o          0.537   0.718   0.893    0.966       0.971     0.962   0.989      0.988     0.988
    c-hcoh         0.570   0.674   0.863    0.965       0.972     0.964    0.989     0.988     0.989
     t-hcoh        0.569   0.675   0.864    0.965       0.966     0.961    0.989     0.988     0.989
formic-anhydride   0.556   0.671   0.900    0.971       0.973     0.942    0.987     0.987     0.989
    c-n2h2         0.524   0.596   0.864    0.968       0.972     0.970    0.989     0.988     0.989
     cf2cl2        0.708   0.784   0.961    0.986       0.986     0.940    0.986     0.985     0.989
    t-n2h2         0.528   0.598   0.864    0.967       0.964     0.969    0.989     0.988     0.989
      ccl4         0.789   0.819   0.966    0.987       0.988     0.969    0.987     0.986     0.990
      p4           0.833   0.811   0.935    0.979       0.985     0.980    0.988     0.987     0.990
  formic     0.563   0.720   0.900    0.971       0.973     0.965    0.989     0.989     0.990
   honc      0.566   0.710   0.876    0.970       0.971     0.884    0.989     0.987     0.990
   nccn      0.534   0.746   0.871    0.976       0.975     0.973    0.989     0.988     0.990
   hnnn      0.521   0.657   0.880    0.969       0.971     0.953    0.989     0.988     0.990
    sio      0.743   0.807   0.896    0.984      0.990      0.965    0.985     0.984     0.985
   hcn       0.555   0.665   0.862    0.972       0.971     0.973   0.990      0.989     0.990
 ch2-sing    0.518   0.546   0.787    0.951       0.963     0.732   0.990      0.990     0.990
  ED01       0.563   0.607   0.890    0.955       0.967     0.926    0.989     0.990     0.990
   s2o       0.761   0.800   0.939    0.980       0.983     0.963    0.989     0.989     0.990
  VOCl3      0.677   0.703   0.948    0.980      0.990      0.898    0.968     0.972     0.980
   hcno      0.563   0.701   0.892    0.971       0.973     0.974    0.990     0.990     0.991
   si2h6     0.738   0.730   0.931    0.971       0.975     0.975    0.989     0.989     0.991
   hnco      0.573   0.680   0.896    0.975       0.976     0.974    0.991     0.990     0.991
 CrO2Cl2     0.652   0.682   0.931    0.970       0.989     0.889    0.982     0.983     0.991
  ED03       0.615   0.604   0.886    0.941       0.963     0.973    0.991    0.991      0.990
CrO2(NO3)2   0.563   0.616   0.902    0.963       0.978     0.911    0.990     0.991     0.991
   hocn      0.562   0.742   0.888    0.972       0.972     0.963    0.991     0.990     0.991
  ch2f2      0.630   0.718   0.928    0.975       0.976     0.971    0.991     0.990     0.992
 Cr(NO)4     0.558   0.594   0.895    0.971       0.977     0.920    0.988     0.991     0.992
  TiCl4      0.704   0.720   0.963    0.988       0.990     0.919    0.985     0.988     0.992
   ccl2      0.797   0.835   0.950    0.986       0.990     0.979    0.991     0.990     0.992
   fccf      0.615   0.743   0.924    0.982       0.980     0.984    0.992     0.992     0.992
   nh2f      0.579   0.702   0.905    0.969       0.975     0.967    0.992     0.992     0.992
   sih4      0.716   0.766   0.925    0.965       0.968     0.975    0.991     0.991     0.992
   hocl      0.725   0.804   0.941    0.980       0.987     0.967    0.992     0.992     0.993
   c2f4      0.639   0.784   0.939    0.982       0.982     0.980    0.992     0.992     0.993
   hcof      0.591   0.730   0.916    0.977       0.976     0.980    0.993     0.993     0.994
  hooh     0.542   0.693   0.891    0.966       0.974     0.974    0.994     0.993     0.994
 hoclo     0.673   0.775   0.931    0.970       0.977     0.972   0.994      0.994     0.994
  c2f6     0.604   0.707   0.946    0.982       0.982     0.975    0.992     0.992     0.994
   alf     0.769   0.827   0.908    0.985       0.991     0.978    0.994     0.993     0.994
  ph3      0.748   0.781   0.929    0.970       0.974     0.976    0.994     0.994     0.994
 t-hono    0.568   0.648   0.891    0.970       0.974     0.967    0.994     0.994     0.994
  hno      0.580   0.685   0.875    0.972       0.974     0.981    0.995     0.994     0.995
  so2      0.699   0.768   0.925    0.974       0.977     0.979   0.995      0.994     0.994
  sih3f    0.707   0.752   0.934    0.973       0.976     0.984    0.994     0.994     0.995
  chf3     0.628   0.769   0.941    0.980       0.980     0.981    0.994     0.994     0.995
 c-hono    0.565   0.646   0.892    0.971       0.976     0.973    0.995     0.994     0.995
  n2o4     0.545   0.678   0.904    0.971       0.974     0.973    0.994     0.993     0.995
  n2o      0.554   0.713   0.893    0.974       0.976     0.977    0.995     0.995     0.995
 hoclo2    0.605   0.696   0.928    0.967       0.972     0.973   0.995      0.995     0.995
  bhf2     0.639   0.752   0.928    0.983       0.981     0.985    0.995     0.995     0.995
   co      0.598   0.698   0.862    0.978       0.982     0.980   0.996      0.995     0.995
  co2      0.548   0.754   0.906    0.979       0.979     0.985   0.996      0.995     0.995
  f2co     0.588   0.714   0.934    0.982       0.981     0.987    0.996     0.995     0.996
   p2      0.826   0.816   0.927    0.989       0.992     0.992    0.996     0.995     0.996
 hclo4     0.567   0.642   0.928    0.967       0.973     0.978    0.996     0.996     0.996
Ni(PF3)4   0.566   0.613   0.947    0.979       0.981     0.978    0.996    0.996      0.994
  cf4      0.644   0.709   0.949    0.984       0.983     0.986    0.996     0.996     0.997
   n2      0.566   0.644   0.861    0.979       0.983     0.988   0.997      0.996     0.996
  h2s      0.785   0.818   0.945    0.979       0.981     0.983   0.997      0.996     0.997
