Table S12:     Non-neutral and/or non-singlet molecules, revTPSSh/pcseg-1: fraction f of electron density covered.

  Molecule       GWH      CORE     SAD     SADNO      HUCKEL       GSZ     LDA-X    CAP-X     CHA-X

      ch          0.512    0.736   0.734     0.739        0.890    0.851   0.879      0.856     0.941
     bn3pi        0.605    0.664   0.790     0.898        0.900    0.910   0.910     0.952      0.921
  cyclopropyl     0.499    0.585   0.871     0.960        0.965    0.923   0.962      0.960     0.964
      no          0.584    0.683   0.870    0.967         0.946    0.922   0.937      0.940     0.933
   Cu(acac)2      0.574    0.597   0.895     0.949        0.967    0.921   0.938      0.922     0.951
   Ti(BH4)3       0.565    0.522   0.897     0.963        0.941    0.812   0.963      0.967     0.970
     allyl        0.519    0.611   0.869     0.966        0.971    0.933   0.967      0.966     0.969
     ch2ch        0.532    0.643   0.854     0.959        0.962    0.937   0.973      0.972     0.973
  V(NMe2)4        0.512    0.527   0.888     0.965        0.974    0.838   0.956      0.966     0.948
     ch3nh        0.533    0.622   0.860     0.950        0.958    0.931   0.974      0.973     0.975
    ch2nh2        0.530    0.639   0.870     0.962        0.968    0.939   0.975      0.974     0.976
      cch         0.519    0.693   0.838     0.972        0.962    0.943   0.978      0.977     0.978
      ch3         0.474    0.683   0.838     0.957        0.963    0.938   0.978      0.977     0.978
      clo         0.744    0.799   0.937     0.977        0.951    0.966   0.969      0.960     0.980
     h2cn         0.567    0.639   0.852     0.958        0.962    0.947   0.982      0.981     0.983
     h2ccn        0.568    0.637   0.865     0.964        0.967    0.901   0.982      0.981     0.983
       cf         0.631    0.725   0.872     0.922        0.984    0.941   0.979      0.957     0.983
     hcnh         0.545    0.652   0.858     0.968        0.965    0.961   0.985      0.984     0.985
      cn          0.554    0.695   0.838     0.979        0.978    0.971   0.988      0.987     0.988
    ch2-trip      0.551    0.728   0.795     0.963        0.968    0.963   0.990      0.989     0.990
      so          0.746    0.804   0.919     0.983        0.989    0.971   0.990      0.989     0.990
     h2no         0.559    0.683   0.885     0.966        0.972    0.960   0.990      0.989     0.990
      nh2         0.531    0.637   0.831     0.961        0.968    0.967   0.991      0.990     0.990
      hco         0.587    0.681   0.870     0.972        0.972    0.976   0.991      0.991     0.991
      n2h         0.541    0.628   0.858     0.969        0.968    0.972   0.992      0.991     0.992
  t-hooo      0.559     0.690       0.889       0.966           0.974        0.948    0.992            0.992       0.993
  c-hooo      0.562     0.690       0.890       0.966           0.975        0.959   0.995             0.994           0.995
    sif       0.761     0.808       0.908       0.944           0.975        0.942   0.995             0.953           0.982
   hoo        0.576     0.690       0.885       0.968           0.976        0.976   0.996             0.996           0.996
    oh        0.596     0.691       0.855       0.971           0.920        0.983    0.963        0.997               0.896
   no2        0.590     0.683       0.897       0.974           0.977        0.986    0.997            0.997       0.997
   ssh        0.803     0.830       0.943       0.982           0.985        0.983    0.997            0.997       0.997
    s2        0.821     0.857       0.941       0.989           0.992        0.993    0.998            0.998       0.998
    nh        0.602     0.769       0.786       0.854           0.977        0.988   0.998             0.998           0.998
    sih       0.802     0.834       0.876       0.862           0.919        0.925    0.935            0.991       0.998
    hs        0.800     0.857       0.927       0.936           0.979        0.942   0.999             0.948           0.999
    o2        0.592     0.710       0.885       0.979           0.987        0.990   0.999             0.999           0.999
   Best         0           0           0           1            5            0           10            2               19

