Table S13: Neutral singlet molecules, HF/aug-pcseg-2: fraction f of electron density covered.

  Molecule          GWH         CORE        SAD     SADNO        HUCKEL           GSZ          LDA-X        CAP-X         CHA-X

 Mn(NO)3CO          0.470       0.494       0.888       0.945        0.943        0.912        0.950        0.952              0.951
 Ni(C5H5)NO         0.414       0.509       0.890       0.956        0.954        0.865        0.954           0.952           0.954
Mn(C5H5)(CO)3       0.337       0.458       0.889       0.958        0.955        0.787        0.931           0.939           0.941
    b2h6            0.284       0.504       0.854       0.932        0.936        0.889        0.956           0.955         0.958
Fe(C4H4)(CO)3       0.340       0.467       0.889       0.959        0.954        0.813        0.935           0.941           0.947
    ED14            0.317       0.479       0.894       0.951        0.959        0.821        0.922           0.925           0.923
Fe(CO)2(NO)2        0.456       0.488       0.888       0.949        0.946        0.928        0.957        0.959              0.957
 MnCp(CO)3          0.329       0.459       0.889       0.959        0.956        0.787        0.929           0.935           0.938
Fe(CO)3(tmm)        0.331       0.463       0.889       0.959        0.955        0.803        0.930           0.938           0.944
 Mn(CO)5CN          0.299       0.453       0.886       0.947        0.955        0.898        0.955        0.959              0.958
Fe(C4H6)(CO)3       0.333       0.464       0.888       0.959        0.954        0.803        0.941           0.948           0.950
Cr(C6H6)(CO)3     0.326   0.445   0.888    0.958      0.960      0.793    0.927     0.944     0.948
     c2h6         0.385   0.556   0.869    0.951      0.960      0.899    0.954     0.952     0.956
     ch4          0.370   0.590   0.862    0.942       0.951     0.902    0.960     0.959     0.960
    PR04          0.336   0.461   0.889   0.960        0.957     0.867    0.931     0.932     0.937
Fe(CO)4(C2H4)     0.322   0.466   0.889    0.958       0.956     0.837    0.956     0.960     0.961
 tetrahedrane     0.184   0.582   0.873    0.956       0.961     0.933    0.960     0.958     0.962
    PR05          0.307   0.445   0.888    0.949       0.957     0.873    0.958    0.962      0.961
   propene        0.336   0.555   0.870    0.956      0.963      0.912    0.958     0.957     0.961
Co(C3H5)(CO)3     0.349   0.481   0.890    0.957       0.956     0.828    0.957     0.961     0.963
 cyclopropane     0.320   0.531   0.873    0.956      0.963      0.909    0.954     0.952     0.957
    ED04          0.354   0.485   0.888   0.963        0.954     0.864    0.945     0.946     0.953
Fe(C2H4)(CO)4     0.323   0.465   0.889    0.957       0.955     0.841    0.959     0.963     0.963
   propane        0.321   0.547   0.873    0.956      0.964      0.893    0.950     0.949     0.954
 cyclobutene      0.350   0.560   0.872    0.957      0.964      0.916    0.955     0.953     0.958
    ED15          0.393   0.511   0.887    0.955       0.954     0.922    0.963     0.963     0.965
  Ni(C3H5)2       0.386   0.510   0.887    0.954       0.954     0.923    0.963     0.964     0.965
   n-butane       0.283   0.553   0.875    0.958      0.966      0.882    0.949     0.949     0.953
 cyclopropene     0.311   0.560   0.868    0.957       0.962     0.933    0.964     0.962     0.966
  VCp(CO)4        0.279   0.435   0.889    0.956      0.966      0.775    0.922     0.935     0.932
   oxetane        0.304   0.593   0.879    0.956       0.965     0.921    0.963     0.962     0.966
 cyclobutane      0.269   0.535   0.874    0.958      0.967      0.897    0.948     0.946     0.952
  n-pentane       0.264   0.556   0.876    0.959      0.967      0.846    0.949     0.949     0.952
     c2h4         0.381   0.523   0.864    0.958       0.964     0.930    0.966     0.964     0.967
    ch3nh2        0.323   0.581   0.870    0.952       0.961     0.920    0.965     0.964     0.967
 Mn(CO)4NO        0.371   0.468   0.888    0.949       0.953     0.912    0.965    0.967      0.966
    ethanol       0.374   0.597   0.882    0.957       0.965     0.919    0.965     0.964     0.967
cyclopentadiene   0.348   0.585   0.876    0.962      0.967      0.924    0.958     0.956     0.961
  Cr(NO)4        0.450   0.491   0.888    0.948       0.948     0.908    0.965    0.968      0.968
   propyne       0.419   0.567   0.869    0.957       0.960     0.923    0.966     0.965     0.968
    PR14         0.257   0.458   0.894    0.963      0.968      0.782    0.944     0.950     0.919
    ED05         0.326   0.467   0.888    0.951       0.956     0.889    0.965     0.968     0.968
 t-butadiene     0.334   0.565   0.871    0.963      0.968      0.919    0.960     0.959     0.963
