Table S14: Non-neutral and/or non-singlet molecules, HF/aug-pcseg-2: fraction f of electron density covered.

  Molecule      GWH      CORE     SAD     SADNO       HUCKEL        GSZ     LDA-X     CAP-X      CHA-X

       cf       0.479     0.679   0.870     0.910         0.914    0.957     0.942      0.951      0.948
  cyclopropyl   0.318     0.547   0.863     0.953         0.959     0.918    0.958      0.956      0.961
   Ti(BH4)3     0.340     0.484   0.886     0.955         0.939     0.802    0.953      0.958      0.962
      cch       0.456     0.633   0.828     0.949         0.938     0.929    0.962      0.961      0.962
     allyl      0.377     0.571   0.862     0.957         0.963     0.926    0.960      0.959      0.962
      ch        0.473     0.541   0.730     0.715         0.847     0.833    0.849      0.931      0.963
     ch2ch      0.404     0.551   0.845     0.944         0.947     0.928    0.963      0.961      0.963
  V(NMe2)4      0.285     0.417   0.883     0.964         0.954     0.829    0.955      0.963      0.943
  Cu(acac)2     0.326     0.475   0.891     0.946         0.965     0.917    0.935      0.920      0.948
      sih       0.707     0.644   0.874     0.854         0.935     0.964    0.971      0.939      0.954
    ch3nh       0.383     0.580   0.853     0.940         0.950     0.926    0.971      0.969      0.972
    ch2nh2      0.367     0.599   0.863     0.954         0.960     0.936    0.971      0.970      0.972
     h2cn       0.432     0.600   0.844     0.944         0.949     0.937    0.972      0.971      0.972
      cn        0.458     0.662   0.827     0.949         0.940     0.959    0.973      0.972      0.972
    t-hooo      0.408     0.643   0.882     0.952         0.960     0.935    0.974      0.974      0.975
      clo       0.573     0.566   0.935     0.946         0.953     0.960    0.957      0.975      0.961
      ch3       0.396     0.637   0.831     0.949         0.957     0.935    0.976      0.975      0.976
     h2ccn      0.424     0.598   0.859     0.955         0.959     0.894    0.975      0.974      0.976
     hcnh       0.406     0.616   0.852     0.958         0.955     0.955    0.978      0.977      0.978
     bn3pi      0.495     0.631   0.788     0.894         0.895     0.914    0.976      0.982      0.974
    c-hooo      0.408     0.642   0.885     0.956         0.966     0.947    0.982      0.981      0.982
      n2h       0.434     0.580   0.852     0.958         0.958     0.964    0.984      0.983      0.984
      oh        0.384     0.641   0.854     0.977         0.978     0.946    0.891      0.985      0.898
      no        0.450     0.669   0.868     0.976         0.980     0.940    0.988      0.984      0.978
     h2no       0.412     0.636   0.880     0.959         0.967     0.959    0.988      0.987      0.988
    ch2-trip    0.411     0.658   0.789     0.957         0.962     0.960    0.988      0.987      0.987
    so          0.583    0.569      0.917        0.980           0.987        0.969    0.989            0.988         0.989
   hco          0.429    0.647      0.868        0.970           0.969        0.974    0.990            0.989         0.990
   nh2          0.391    0.593      0.828        0.958           0.966        0.965    0.990            0.989         0.990
   sif          0.614    0.752      0.907        0.951           0.974        0.955    0.955            0.992         0.955
   hoo          0.376    0.639      0.881        0.961           0.969        0.974    0.992            0.992         0.992
   ssh          0.652    0.656      0.942        0.980           0.983        0.978    0.993            0.993         0.994
   no2          0.430    0.632      0.896        0.974           0.977        0.982    0.994            0.993         0.994
    s2          0.669    0.682      0.940        0.988           0.991        0.990    0.996            0.995         0.996
   o2           0.452    0.662      0.883        0.978           0.985        0.987    0.997            0.996         0.997
   hs           0.628    0.600      0.925        0.930           0.928        0.929    0.958            0.975         0.997
   nh           0.430    0.637      0.783        0.968           0.975        0.986    0.997            0.997         0.997
  Best           0           0           0           1            2            1           13             4            16


