Table S15: Neutral singlet molecules, revTPSSh/aug-pcseg-2: fraction f of electron density covered.

  Molecule           GWH         CORE        SAD     SADNO        HUCKEL           GSZ      LDA-X             CAP-X      CHA-X

    ED14             0.316       0.479       0.893       0.950        0.958        0.824        0.927         0.929         0.929
    c2h6             0.386       0.560       0.869       0.952        0.961        0.901        0.955         0.954         0.958
    b2h6             0.284       0.509       0.854       0.932        0.937        0.893        0.959         0.958         0.961
     ch4             0.370       0.594       0.862       0.943        0.952        0.904        0.961         0.960         0.962
 Mn(CO)5CN           0.302       0.452       0.888       0.959        0.959        0.900        0.959         0.963         0.961
 tetrahedrane        0.184       0.585       0.872       0.956        0.961        0.935        0.962         0.959         0.963
Cr(C6H6)(CO)3        0.327       0.445       0.890       0.964        0.962        0.792        0.932         0.948         0.953
 cyclopropane        0.321       0.534       0.873       0.956        0.964        0.912        0.956         0.954         0.958
   propene           0.336       0.559       0.871       0.957        0.964        0.914        0.960         0.959         0.963
 Ni(C5H5)NO          0.415       0.510       0.890       0.964        0.961        0.868        0.960         0.959         0.960
   propane           0.321       0.551       0.873       0.957        0.964        0.895        0.952         0.951         0.955
    ED04             0.354       0.485       0.888       0.965        0.956        0.864        0.947         0.948         0.957
    PR04          0.336   0.463   0.890   0.965        0.961     0.867    0.932     0.933     0.940
  cyclobutene     0.350   0.564   0.872    0.958      0.965      0.919    0.957     0.955     0.960
Fe(CO)4(C2H4)     0.324   0.465   0.890    0.964       0.958     0.841    0.961     0.965     0.966
Co(C3H5)(CO)3     0.352   0.480   0.891    0.962       0.959     0.829    0.960     0.964     0.966
Fe(CO)3(tmm)      0.333   0.464   0.890   0.966        0.959     0.804    0.933     0.942     0.948
   n-butane       0.284   0.556   0.875    0.959      0.967      0.885    0.951     0.950     0.954
Fe(C4H4)(CO)3     0.341   0.468   0.890   0.967        0.958     0.814    0.937     0.943     0.950
Fe(C4H6)(CO)3     0.335   0.463   0.889   0.967        0.958     0.803    0.945     0.953     0.955
