Table S16: Non-neutral and/or non-singlet molecules, revTPSSh/aug-pcseg-2: fraction f of electron density covered.

   Molecule     GWH         CORE        SAD     SADNO            HUCKEL        GSZ     LDA-X          CAP-X              CHA-X

  cyclopropyl   0.319       0.550       0.864       0.954         0.961        0.920       0.960           0.958         0.962
V(NMe2)4    0.285   0.419    0.883    0.962        0.959    0.831     0.958   0.964      0.947
Cu(acac)2   0.326   0.476    0.891    0.946        0.965    0.919     0.936    0.921     0.949
  allyl     0.378   0.574    0.864    0.961        0.967    0.931     0.965    0.964     0.967
Ti(BH4)3    0.339   0.486    0.886    0.955        0.942    0.807     0.961    0.965     0.968
  bn3pi     0.503   0.634    0.789    0.894        0.896    0.959     0.909   0.968      0.910
  ch2ch     0.406   0.550    0.849    0.952        0.956    0.935     0.971    0.970     0.972
 ch2nh2     0.368   0.600    0.864    0.956        0.963    0.936     0.973    0.971     0.974
 ch3nh      0.383   0.584    0.854    0.943        0.953    0.928     0.973    0.971     0.974
   cch      0.461   0.635    0.835    0.965        0.957    0.941     0.976    0.975     0.976
   ch3      0.396   0.641    0.831    0.949        0.957    0.936     0.977    0.976     0.977
  h2cn      0.433   0.604    0.848    0.953        0.958    0.945     0.981    0.980     0.981
  h2ccn     0.425   0.601    0.861    0.959        0.963    0.900     0.981    0.980     0.982
  hcnh      0.408   0.617    0.854    0.962        0.961    0.959     0.983    0.982     0.983
   sif      0.614   0.752    0.907    0.968        0.956    0.940     0.985    0.974     0.957
   cn       0.468   0.663    0.837    0.974        0.973    0.969     0.987    0.986     0.987
   clo      0.573   0.567    0.935    0.946        0.952    0.952     0.988    0.986     0.964
  h2no      0.413   0.641    0.881    0.962        0.969    0.957     0.988    0.987     0.988
   ch       0.480   0.533    0.730    0.698        0.823    0.917     0.941   0.989      0.973
 ch2-trip   0.413   0.658    0.789    0.957        0.963    0.961     0.989    0.988     0.989
   no       0.452   0.644    0.868    0.910        0.915    0.925     0.954    0.945     0.989
   so       0.584   0.570    0.918    0.980        0.987    0.969     0.989    0.989     0.989
   nh2      0.393   0.595    0.827    0.886        0.965    0.964     0.990    0.989     0.989
   hco      0.432   0.647    0.867    0.968        0.969    0.974     0.990    0.990     0.990
   n2h      0.435   0.583    0.855    0.964        0.964    0.970     0.991    0.990     0.991
   hs       0.628   0.599    0.925    0.984        0.987    0.976     0.991    0.975     0.949
 t-hooo     0.409   0.646    0.886    0.963        0.973    0.946     0.991    0.990     0.991
 c-hooo     0.409   0.646    0.887    0.963        0.973    0.957     0.993    0.993     0.993
  hoo      0.377   0.641    0.882    0.966        0.974    0.973     0.995   0.994    0.995
   cf      0.481   0.679    0.870    0.910        0.916    0.937     0.996   0.932    0.942
  ssh      0.652   0.657    0.942    0.981        0.984    0.979     0.996   0.995   0.996
  no2      0.431   0.637    0.894    0.971        0.975    0.985     0.996   0.996   0.996
   oh      0.386   0.641    0.853    0.978        0.978    0.874     0.890   0.978   0.996
   s2      0.668   0.682    0.940    0.988        0.991    0.991     0.997   0.996   0.997
   nh      0.432   0.637    0.783    0.971        0.975    0.986     0.998   0.998    0.998
  sih      0.706   0.642    0.874    0.855        0.934    0.962     0.956   0.954   0.998
   o2      0.454   0.666    0.883    0.977        0.985    0.988     0.998   0.998    0.998
  Best      0       0         0        0           1         0        12       3       21
