Table S2: Non-neutral and/or non-singlet molecules, HF/STO-3G: fraction f of electron density covered.

 Molecule      GWH         CORE        SAD     SADNO            HUCKEL       GSZ     LDA-X            CAP-X        CHA-X

     ch        0.738       0.853       0.732       0.750         0.647       0.892       0.842        0.973        0.973
     cn        0.731       0.771       0.813       0.965         0.795       0.971       0.973        0.972         0.972
 Cu(acac)2     0.742       0.745       0.880       0.973         0.822       0.904       0.927        0.927         0.928
    cch        0.640       0.730       0.810       0.975         0.605       0.947       0.967        0.967         0.968
   t-hooo      0.839       0.803       0.876       0.957         0.966       0.947       0.976        0.976        0.976
    h2cn       0.725       0.709       0.836       0.967         0.809       0.957       0.976        0.976        0.977
   ch2ch       0.628       0.706       0.834       0.979         0.680       0.955       0.970        0.970         0.971
    hcnh       0.725       0.748       0.843       0.978         0.840       0.976       0.980        0.980        0.981
   h2ccn       0.705       0.683       0.845       0.977         0.774       0.911       0.980        0.979        0.981
    no2        0.791       0.770       0.884       0.960         0.958       0.981       0.982        0.982        0.982
  bn3pi       0.811   0.744   0.774    0.892         0.805   0.982     0.907     0.973     0.918
  ch3nh       0.689   0.723   0.851    0.979         0.826    0.953    0.982     0.981     0.983
  c-hooo      0.842   0.799   0.878    0.961         0.971    0.963    0.985     0.984     0.985
    so        0.892   0.890   0.914    0.983         0.982    0.973    0.985     0.985     0.985
   n2h        0.756   0.725   0.847    0.972         0.901    0.980    0.987     0.986     0.987
    no        0.830   0.805   0.860    0.974         0.975   0.988     0.930     0.930     0.932
V(NMe2)4      0.681   0.685   0.872    0.988         0.805    0.842    0.975     0.975     0.973
   allyl      0.640   0.685   0.850    0.989         0.671    0.956    0.974     0.974     0.976
  ch2nh2      0.692   0.742   0.863    0.989         0.860    0.967    0.983     0.982     0.984
    clo       0.918   0.934   0.934    0.947         0.989    0.964    0.981     0.959     0.983
   hco        0.786   0.784   0.859    0.976         0.865    0.990    0.990     0.990     0.990
   h2no       0.759   0.775   0.879    0.964         0.960    0.982    0.992     0.992     0.992
cyclopropyl   0.635   0.671   0.855    0.992         0.647    0.952    0.977     0.976     0.979
 ch2-trip     0.756   0.845   0.793    0.992         0.707    0.988    0.992     0.992     0.992
   hoo        0.829   0.813   0.876    0.962         0.969    0.989    0.993     0.993     0.993
   nh2        0.800   0.745   0.833    0.876         0.965    0.988    0.994     0.994     0.994
    s2        0.933   0.921   0.934    0.985         0.991    0.993    0.994     0.994     0.994
Ti(BH4)3      0.636   0.637   0.869    0.994         0.648    0.859    0.983     0.984     0.983
    o2        0.863   0.847   0.876    0.979         0.989    0.994    0.994     0.994     0.994
   ch3        0.679   0.784   0.834    0.995         0.745    0.969    0.986     0.986     0.987
    sif       0.919   0.904   0.905    0.956         0.941    0.955    0.966     0.953     0.996
    cf        0.891   0.839   0.866    0.938         0.946    0.944    0.932     0.936     0.996
    ssh       0.907   0.894   0.936    0.980         0.983    0.994    0.996    0.996      0.996
    oh        0.901   0.889   0.855    0.879         0.969    0.886    0.996    0.997      0.995
    sih       0.848   0.859   0.868    0.974         0.833    0.932    0.981     0.946     0.997
    nh        0.886   0.913   0.787    0.916         0.969    0.998    0.998     0.998     0.998
    hs        0.900   0.892   0.921    0.934         0.984   0.998     0.941     0.944     0.968
  Best          0           0           0           9           1            3           3           2           19

