 Table S3: Neutral singlet molecules, revTPSSh/STO-3G: fraction f of electron density covered.

  Molecule          GWH         CORE        SAD     SADNO       HUCKEL           GSZ         LDA-X       CAP-X    CHA-X

    CuCN            0.834       0.849       0.861       0.945       0.867        0.868       0.817       0.816        0.817
    CuMe            0.852       0.849       0.867       0.955       0.867        0.810       0.801       0.798        0.801
  Ni(C3H5)2         0.716       0.738       0.876       0.961       0.779        0.933       0.951       0.947        0.947
    ED15            0.715       0.738       0.876       0.961       0.778        0.933       0.955       0.952        0.951
    ED03            0.734       0.763       0.880       0.947       0.909        0.963       0.944       0.940        0.941
  Ni(PH3)2          0.839       0.837       0.901       0.942       0.919        0.946       0.965       0.964        0.965
Cr(C6H6)(CO)3       0.659       0.725       0.872       0.966       0.749        0.809       0.945       0.947        0.945
 MnCp(CO)3          0.671       0.730       0.873       0.969       0.784        0.802       0.948       0.950        0.953
Mn(C5H5)(CO)3       0.671       0.731       0.874       0.969       0.785        0.801       0.949       0.951        0.953
    PR15            0.739       0.746       0.877       0.971       0.812        0.919       0.937       0.935        0.937
  Zn(CH3)2          0.788       0.800       0.877       0.952       0.860        0.944       0.971       0.970        0.970
  VCp(CO)4          0.650       0.712       0.873       0.972       0.776        0.794       0.947       0.950        0.949
Fe(C5Me5)(P5)       0.771       0.756       0.896       0.973       0.770        0.831       0.903       0.907        0.903
 Ni(C5H5)NO         0.740       0.778       0.879       0.974       0.815        0.875       0.924       0.913        0.928
Co(C3H5)(CO)3       0.698       0.718       0.878       0.971       0.844        0.855       0.971       0.973        0.975
    ED14            0.719       0.734       0.878       0.977       0.748        0.841       0.918       0.924        0.914
Fe(CO)4(C2H4)       0.717       0.704       0.875       0.977       0.859        0.863       0.971       0.974        0.976
Fe(C2H4)(CO)4       0.706       0.704       0.876       0.978       0.860        0.866       0.973       0.976        0.977
  Ni(acac)2         0.737       0.742       0.878       0.978       0.815        0.918       0.933       0.933        0.933
    PR12            0.693       0.689       0.871       0.969       0.824        0.841       0.975       0.978        0.977
    PR05            0.681       0.709       0.874       0.964       0.881        0.900       0.975       0.979        0.979
    ED04            0.703       0.713       0.872       0.979       0.714        0.888       0.977       0.975        0.974
    PR14            0.697       0.709       0.876       0.980       0.717        0.822       0.955       0.944        0.941
Fe(C4H6)(CO)3    0.686   0.707      0.874    0.980       0.820      0.822      0.958     0.960     0.961
  Cr(C6H6)2      0.634   0.737      0.870    0.972       0.637      0.891     0.981      0.963     0.962
    PR04         0.693   0.723      0.873    0.981       0.734      0.890      0.964     0.967     0.969
Fe(C4H4)(CO)3    0.694   0.739      0.875    0.982       0.816      0.832      0.964     0.965     0.968
    ED40a        0.641   0.652      0.872    0.982       0.742      0.961      0.977     0.976     0.975
 Mn(CO)5CN       0.677   0.719      0.872    0.967       0.875      0.907      0.979    0.983      0.982
Fe(CO)3(tmm)     0.686   0.706      0.874    0.983       0.824      0.825      0.962     0.964     0.967
  dithiotane     0.839   0.846      0.915    0.982       0.901      0.939      0.981     0.980     0.983
     ocs         0.839   0.838      0.914    0.979       0.938      0.939      0.980     0.979     0.983
   oxetane       0.698   0.715      0.871    0.983       0.759      0.949      0.979     0.978     0.981
    ED05         0.678   0.721      0.875    0.966       0.881      0.902      0.980     0.982     0.983
    AcCl         0.828   0.833      0.915    0.984       0.901      0.870      0.959     0.957     0.967
 beta-lactim     0.725   0.713      0.872    0.981       0.793      0.938      0.981     0.980     0.984
  Sc(acac)3      0.699   0.706      0.883    0.984       0.793      0.850      0.982    0.984      0.971
   ethanol       0.704   0.731      0.875    0.985       0.791      0.945      0.978     0.978     0.980
    ED02         0.699   0.736      0.876    0.973       0.890      0.945      0.984    0.985      0.985
   ch3ph2        0.767   0.784      0.898    0.985       0.832      0.938      0.984     0.983     0.985
  methanol       0.735   0.766      0.879    0.980       0.862      0.962      0.984     0.984     0.985
 acetaldehyde    0.714   0.724      0.871    0.979       0.796      0.930      0.984     0.983     0.986
      sio        0.892   0.876      0.888    0.981       0.936      0.971     0.986      0.985     0.985
  cis-c2f2cl2    0.848   0.835      0.945    0.986       0.943      0.900      0.980     0.979     0.984
 trans-c2f2cl2   0.845   0.824      0.945    0.986       0.943      0.912      0.980     0.979     0.984
     nh3         0.733   0.799      0.874    0.983       0.977      0.967      0.986     0.986     0.986
    FeCp2        0.679   0.750      0.873    0.986       0.689      0.911      0.980     0.981     0.981
   oxirane       0.723   0.751      0.873    0.980       0.799      0.963      0.985     0.985     0.986
    c2h5f        0.737   0.758      0.891    0.987       0.796      0.909      0.982     0.981     0.984
     n2h4        0.703   0.754      0.874    0.982       0.979      0.969      0.987     0.986     0.987
   c2h3f     0.752   0.763      0.889    0.987       0.806      0.949      0.987     0.986     0.988
  ED27       0.734   0.751      0.888    0.988       0.750      0.922      0.977     0.977     0.978
   ccl2o     0.896   0.868      0.946    0.984       0.969      0.957      0.985     0.985     0.988
  PR02       0.689   0.731      0.877    0.971       0.895      0.929      0.985     0.988     0.988
   c2cl6     0.914   0.893      0.960    0.988       0.977      0.953      0.981     0.981     0.986
  ED28       0.722   0.743      0.886    0.988       0.740      0.902      0.975     0.975     0.974
  ch3nh2     0.685   0.730      0.870    0.988       0.863      0.952      0.980     0.979     0.981
Mn(CO)4NO    0.689   0.727      0.877    0.958       0.891      0.923      0.985    0.988      0.988
 Fe(CO)5     0.689   0.731      0.877    0.971       0.895      0.930      0.986     0.988     0.988
  PMe3       0.717   0.742      0.885    0.989       0.745      0.917      0.978     0.977     0.979
  acetic     0.757   0.769      0.883    0.977       0.865      0.953      0.987     0.987     0.989
 dioxetane   0.766   0.779      0.880    0.975       0.887      0.970      0.988     0.987     0.989
  PR40       0.715   0.723      0.895    0.989       0.788      0.909      0.980     0.980     0.980
   furan     0.699   0.721      0.871    0.989       0.727      0.976      0.987     0.986     0.988
  ketene     0.722   0.753      0.872    0.983       0.815      0.966      0.988     0.987     0.989
 TiCl2Me2    0.808   0.789      0.927    0.989       0.876      0.847      0.986     0.988     0.989
    cs2      0.853   0.844      0.928    0.981       0.938      0.981      0.989     0.988     0.989
   clcof     0.870   0.839      0.936    0.981       0.962      0.941      0.986     0.986     0.990
   h2o       0.826   0.861      0.891    0.971       0.960      0.979     0.990      0.990     0.990
   ch2c      0.719   0.730      0.817    0.990       0.665      0.956      0.985     0.984     0.986
   c2cl4     0.878   0.867      0.957    0.990       0.955      0.957      0.981     0.981     0.984
   clcn      0.830   0.862      0.921    0.986       0.927      0.950      0.989     0.988     0.990
 thiophene   0.735   0.768      0.893    0.990       0.760      0.903      0.967     0.966     0.970
   ch3f      0.781   0.804      0.901    0.983       0.870      0.970      0.990     0.989     0.990
  ch2nh      0.702   0.732      0.858    0.984       0.853      0.978      0.990     0.989     0.990
  PhSH       0.729   0.747      0.885    0.991       0.725      0.877      0.922     0.922     0.923
  ED30       0.708   0.717      0.877    0.991       0.748      0.820      0.977     0.980     0.972
    ED01         0.683   0.707      0.872    0.961       0.848      0.955      0.990    0.991      0.986
    nh2oh        0.757   0.785      0.879    0.974       0.964      0.978      0.991     0.990     0.991
 formamide       0.723   0.745      0.884    0.979       0.936      0.960      0.990     0.990     0.991
    ccl2h2       0.909   0.903      0.951    0.991       0.957      0.961      0.990     0.989     0.991
    ch2clf       0.888   0.883      0.939    0.986       0.947      0.922      0.990     0.990     0.992
    PCy3         0.664   0.683      0.870    0.992       0.660      0.784      0.964     0.965     0.963
      cs         0.901   0.864      0.896    0.983       0.918      0.986      0.992     0.992     0.992
    nh2cl        0.866   0.883      0.934    0.985       0.985      0.967      0.991     0.991     0.992
    cclh3        0.852   0.867      0.934    0.992       0.909      0.946      0.987     0.987     0.988
tetrahedrane     0.664   0.705      0.863    0.992       0.583      0.970      0.984     0.982     0.985
    c2clh5       0.802   0.817      0.918    0.993       0.844      0.833      0.976     0.974     0.980
    PR06         0.670   0.705      0.873    0.965       0.844      0.897      0.990    0.993      0.992
    c2cl2        0.864   0.899      0.944    0.993       0.895      0.946      0.978     0.978     0.981
  oxadiazole     0.766   0.724      0.869    0.978       0.845      0.975      0.992     0.992     0.993
    PR01         0.668   0.714      0.873    0.969       0.851      0.916      0.990    0.993      0.992
   PhSeH         0.793   0.808      0.911    0.993       0.796      0.903      0.937     0.937     0.938
 cyclobutene     0.644   0.671      0.859    0.993       0.634      0.951      0.976     0.975     0.978
    ED31         0.685   0.693      0.871    0.993       0.642      0.817      0.964     0.966     0.955
    ccl3h        0.890   0.899      0.959    0.989       0.978      0.971      0.991     0.991     0.993
CrO2(NO3)2       0.760   0.735      0.888    0.958       0.931      0.943     0.993      0.993     0.990
    silole       0.705   0.700      0.877    0.993       0.681      0.891      0.956     0.954     0.960
 CoH(CO)4        0.704   0.743      0.879    0.966       0.905      0.937      0.991     0.993     0.993
 cyclobutane     0.635   0.644      0.863    0.993       0.638      0.932      0.969     0.968     0.972
cyclobutadiene   0.659   0.702      0.850    0.993       0.609      0.974      0.985     0.985     0.987
    c2clh3       0.818   0.826      0.919    0.993       0.856      0.864      0.952     0.950     0.958
dioxetan2one     0.766   0.751      0.888    0.973       0.912      0.941      0.991     0.991     0.993
   ED40b         0.787   0.802      0.914    0.993       0.837      0.877      0.985     0.985     0.986
      s2o          0.891   0.896      0.932    0.981       0.984      0.974      0.993     0.992     0.993
formic-anhydride   0.749   0.772      0.886    0.974       0.924      0.954      0.992     0.992     0.993
      ccl2         0.950   0.931      0.944    0.984       0.982      0.985      0.992     0.992     0.993
 cyclopropene      0.632   0.685      0.857    0.994       0.626      0.968      0.984     0.983     0.985
    glyoxal        0.787   0.769      0.875    0.974       0.880      0.977      0.992     0.992     0.994
     hoclo         0.883   0.886      0.927    0.966       0.976      0.980     0.994      0.994     0.993
    oxirene        0.747   0.798      0.861    0.975       0.788      0.987      0.993     0.993     0.994
    c-hcoh         0.770   0.774      0.854    0.977       0.864      0.985      0.993     0.993     0.994
      ccl4         0.945   0.908      0.962    0.988       0.983      0.979      0.992     0.991     0.994
   Cr(CO)6         0.668   0.715      0.873    0.969       0.852      0.919      0.991    0.994      0.993
   CrO2Cl2         0.812   0.796      0.924    0.966       0.937      0.917      0.994    0.994      0.992
     c2clh         0.833   0.856      0.921    0.994       0.835      0.890      0.974     0.972     0.977
     t-hcoh        0.773   0.776      0.855    0.977       0.848      0.981      0.994     0.993     0.994
     cf2cl2        0.886   0.873      0.954    0.984       0.977      0.950      0.992     0.991     0.994
      hccf         0.768   0.808      0.889    0.988       0.775      0.988      0.994     0.994     0.994
   dioxirane       0.804   0.804      0.875    0.970       0.872      0.978      0.993     0.993     0.994
      alf          0.918   0.906      0.903    0.982       0.966      0.985      0.994     0.994     0.994
    ch2-sing       0.754   0.594      0.782    0.774       0.643      0.992      0.994     0.994     0.994
      hocl         0.891   0.913      0.938    0.979       0.985      0.976      0.994     0.993     0.994
 cyclopropane      0.636   0.654      0.865    0.994       0.636      0.945      0.975     0.974     0.977
    MnO3F          0.819   0.812      0.887    0.942       0.930      0.984     0.994      0.993     0.991
   n-pentane       0.629   0.663      0.865    0.994       0.656      0.870      0.969     0.969     0.971
      so2          0.875   0.874      0.920    0.977       0.976      0.986     0.994      0.994     0.994
     h2co          0.755   0.767      0.871    0.975       0.883      0.986      0.994     0.994     0.994
    pyrrole        0.671   0.662      0.869    0.994       0.717      0.970      0.984     0.983     0.985
     hnnn          0.743   0.731      0.870    0.982       0.975      0.968      0.994     0.993     0.994
   n-butane        0.630   0.666      0.864    0.994       0.660      0.912      0.969     0.968     0.971
     hooh         0.796   0.851      0.884    0.967       0.967      0.988      0.994     0.994     0.994
   propane        0.627   0.672      0.864    0.995       0.667      0.926      0.970     0.969     0.973
cyclopentadiene   0.644   0.687      0.860    0.995       0.617      0.959      0.979     0.978     0.981
    borole        0.660   0.675      0.845    0.995       0.615      0.915      0.983     0.983     0.985
    c-n2h2        0.764   0.684      0.857    0.982       0.973      0.992      0.994     0.994     0.995
     c2h6         0.630   0.701      0.863    0.995       0.680      0.934      0.973     0.972     0.974
     si2h6        0.800   0.789      0.908    0.991       0.783      0.986      0.993     0.994     0.995
    t-n2h2        0.766   0.690      0.857    0.982       0.870      0.989      0.994     0.994     0.995
