Table S4:        Non-neutral and/or non-singlet molecules, revTPSSh/STO-3G: fraction f of electron density covered.

  Molecule          GWH          CORE        SAD     SADNO            HUCKEL       GSZ     LDA-X            CAP-X        CHA-X

      cf             0.881       0.835       0.864       0.934         0.942       0.955       0.933        0.953        0.968
  Cu(acac)2          0.743       0.746       0.879       0.969         0.822       0.900       0.922        0.922         0.923
      sif            0.909       0.878       0.904       0.951         0.968       0.972       0.959        0.972         0.954
    ch3nh            0.690       0.725       0.851       0.979         0.825       0.955       0.984        0.983        0.985
  V(NMe2)4           0.682       0.685       0.871       0.986         0.800       0.843       0.975        0.975         0.973
      ch             0.748       0.864       0.731       0.736         0.612       0.888       0.985        0.884        0.987
      sih            0.849       0.860       0.868       0.979         0.842       0.990       0.949        0.981         0.933
    h2ccn            0.698       0.681       0.848       0.984         0.777       0.919       0.988        0.988        0.990
     h2cn            0.710       0.713       0.840       0.979         0.812       0.968       0.989        0.989        0.990
      so             0.897       0.887       0.915       0.987         0.986       0.977       0.990        0.990        0.990
    ch2nh2           0.687       0.738       0.863       0.990         0.857       0.968       0.985        0.985         0.986
      clo            0.915       0.932       0.934       0.942         0.991       0.954       0.987        0.959         0.988
Ti(BH4)3      0.640   0.641   0.869    0.992         0.645    0.862    0.985   0.986    0.985
  ch2ch       0.645   0.715   0.837    0.993         0.681    0.967    0.985   0.984    0.985
cyclopropyl   0.637   0.671   0.855    0.993         0.646    0.953    0.979   0.978    0.980
   hcnh       0.724   0.746   0.846    0.988         0.844    0.986    0.993   0.993   0.993
   nh2        0.800   0.745   0.832    0.875         0.962    0.988    0.993   0.993   0.993
 ch2-trip     0.758   0.845   0.793    0.992         0.706    0.989    0.993   0.993   0.993
  t-hooo      0.827   0.805   0.879    0.967         0.978    0.961    0.994   0.993   0.994
   h2no       0.765   0.781   0.880    0.969         0.965    0.982    0.994   0.994   0.994
  bn3pi       0.813   0.747   0.774    0.898         0.818    0.975    0.922   0.992   0.995
   allyl      0.641   0.687   0.852    0.995         0.668    0.962    0.981   0.980    0.983
   cch        0.657   0.752   0.816    0.995         0.596    0.965    0.988   0.988    0.989
   ch3        0.680   0.784   0.834    0.995         0.744    0.970    0.987   0.987    0.987
    oh        0.901   0.888   0.854    0.878         0.967    0.966    0.996   0.887    0.995
   n2h        0.765   0.728   0.849    0.982         0.912    0.989    0.996   0.996   0.996
  c-hooo      0.831   0.802   0.879    0.966         0.977    0.975    0.996   0.996    0.996
    cn        0.762   0.780   0.818    0.979         0.829    0.990    0.996   0.996   0.997
   hco        0.783   0.779   0.859    0.976         0.866    0.995    0.997   0.997   0.997
   hoo        0.820   0.817   0.876    0.968         0.974    0.990    0.997   0.997   0.997
    nh        0.886   0.913   0.787    0.915         0.968   0.998     0.998   0.998    0.998
    hs        0.936   0.940   0.921    0.941         0.972    0.967    0.999   0.960    0.994
    ssh       0.905   0.896   0.936    0.983         0.986    0.995    0.999   0.999   0.999
    no        0.827   0.796   0.862    0.980         0.984    0.996    0.999   0.934    0.934
    s2        0.935   0.925   0.935    0.990         0.997    0.999    1.000   1.000   1.000
   no2        0.790   0.781   0.886    0.972         0.968    0.999    1.000   1.000   1.000
    o2        0.871   0.852   0.876    0.982         0.994    0.999    1.000   1.000    1.000
   Best        0       0        0        9            1         2        5       1       19

