Table S5: Neutral singlet molecules, HF/pcseg-0: fraction f of electron density covered.

  Molecule         GWH      CORE      SAD     SADNO       HUCKEL        GSZ     LDA-X     CAP-X       CHA-X

 Mn(NO)3CO          0.590     0.645   0.892     0.948       0.953       0.914    0.948      0.950      0.949
Fe(CO)2(NO)2        0.596     0.655   0.890     0.953        0.955      0.929    0.957     0.959       0.957
    b2h6            0.509     0.545   0.878     0.959        0.961      0.897    0.962      0.961     0.965
 Ni(C5H5)NO         0.625     0.663   0.892     0.959       0.965       0.872    0.961      0.961      0.961
Fe(C2H4)(CO)4       0.586     0.632   0.890     0.964        0.964      0.848    0.960      0.964     0.965
Fe(CO)4(C2H4)       0.584     0.630   0.890     0.964       0.965       0.844    0.958      0.962      0.963
Fe(C4H4)(CO)3       0.597     0.631   0.892     0.965        0.962      0.820    0.940      0.946      0.951
   Cr(NO)4          0.592     0.634   0.893     0.951        0.960      0.907    0.962      0.965     0.965
Fe(C4H6)(CO)3       0.576     0.643   0.890     0.966        0.964      0.819    0.946      0.953      0.954
Mn(C5H5)(CO)3       0.589     0.635   0.893     0.963       0.966       0.794    0.937      0.944      0.945
 Mn(CO)5CN          0.580     0.630   0.887     0.953       0.966       0.898    0.955      0.960      0.958
Fe(CO)3(tmm)        0.592     0.613   0.891     0.966        0.963      0.810    0.934      0.942      0.947
 MnCp(CO)3          0.588     0.633   0.893     0.963       0.966       0.794    0.934      0.941      0.943
Co(C3H5)(CO)3       0.599     0.644   0.890     0.966       0.967       0.840    0.960      0.964      0.966
    PR05            0.574     0.633   0.890     0.955       0.967       0.889    0.958      0.962      0.960
  VCp(CO)4          0.570     0.624   0.895     0.962       0.967       0.782    0.926      0.938      0.934
 Mn(CO)4NO          0.590     0.656   0.890     0.955        0.965      0.913    0.965     0.967       0.966
    ED05            0.593     0.657   0.890     0.956        0.967      0.890    0.965      0.968     0.968
    PR04            0.588     0.649   0.893     0.970        0.964      0.877    0.938      0.940      0.944
     ch4            0.405     0.618   0.881     0.966       0.972       0.907    0.965      0.964      0.965
    ED15            0.623     0.648   0.890     0.959        0.966      0.932    0.970      0.971     0.972
  Ni(C3H5)2         0.622     0.648   0.889     0.957        0.966      0.933    0.971      0.971     0.972
    ED14            0.577     0.624   0.899     0.956       0.973       0.840    0.929      0.933      0.931
 Co(CO)3(NO)        0.615     0.678   0.889     0.963        0.964      0.948    0.971     0.973       0.971
    ED04            0.610     0.659   0.891     0.973        0.962      0.876    0.953      0.954      0.961
Cr(C6H6)(CO)3       0.580     0.637   0.893     0.963       0.973       0.800    0.931      0.947      0.953
    PR12          0.562   0.622      0.890    0.960       0.973      0.823      0.970    0.974      0.972
 tetrahedrane     0.511   0.612      0.890    0.971       0.971      0.944      0.972     0.971     0.974
    PR02          0.598   0.623      0.891    0.962       0.967      0.921      0.971    0.974      0.973
   propyne        0.471   0.590      0.881    0.972       0.972      0.929      0.972     0.971     0.974
   Fe(CO)5        0.598   0.623      0.890    0.962       0.967      0.922      0.972    0.974      0.974
 cyclopropene     0.489   0.586      0.883    0.974       0.974      0.941      0.973     0.972     0.975
    ch3nh2        0.478   0.608      0.885    0.969       0.975      0.929      0.972     0.971     0.973
    PR14          0.555   0.594      0.900    0.965       0.976      0.807      0.952     0.958     0.927
   oxetane        0.512   0.621      0.895    0.970       0.976      0.931      0.972     0.971     0.974
   propene        0.476   0.584      0.885    0.972       0.976      0.919      0.966     0.965     0.968
     c2h6         0.485   0.591      0.887    0.971       0.976      0.906      0.960     0.959     0.962
    allene        0.465   0.584      0.880    0.971       0.972      0.948      0.975     0.974     0.976
 cyclobutene      0.524   0.586      0.887    0.971       0.976      0.927      0.966     0.965     0.969
    ED40a         0.600   0.655      0.886    0.967       0.956      0.939     0.976      0.975     0.973
    ethanol       0.467   0.621      0.895    0.971       0.976      0.927      0.971     0.970     0.973
   MnO3F          0.648   0.700      0.895    0.946       0.961      0.944      0.975     0.975     0.976
 cyclopropane     0.511   0.561      0.890    0.973       0.976      0.920      0.964     0.963     0.966
     c2h4         0.487   0.553      0.878    0.974       0.976      0.938      0.974     0.973     0.974
    PR15          0.592   0.641      0.893    0.966       0.966      0.918      0.976    0.976      0.976
     ch2c         0.528   0.639      0.839    0.965       0.965      0.930      0.976     0.975     0.977
    FeCp2         0.597   0.661      0.897    0.977       0.960      0.900      0.956     0.958     0.960
  CoH(CO)4        0.619   0.677      0.890    0.966       0.968      0.931      0.975    0.977      0.977
  Ni(acac)2       0.582   0.637      0.897    0.950       0.968      0.914     0.977      0.962     0.974
   propane        0.470   0.579      0.889    0.972       0.978      0.901      0.958     0.957     0.961
    PR40          0.618   0.650      0.915    0.978       0.974      0.883      0.955     0.959     0.967
cyclopentadiene   0.534   0.608      0.889    0.975       0.978      0.935      0.969     0.968     0.971
  beta-lactim     0.495   0.633      0.895    0.971       0.975      0.930      0.975     0.974     0.978
Fe(C5Me5)(P5)    0.641   0.680      0.918    0.978       0.970      0.823      0.898     0.901     0.897
