 Table S7: Neutral singlet molecules, revTPSSh/pcseg-0: fraction f of electron density covered.

 Molecule          GWH         CORE        SAD     SADNO        HUCKEL            GSZ          LDA-X        CAP-X         CHA-X

    b2h6           0.512       0.550       0.876       0.957         0.959        0.902        0.966           0.965         0.968
     ch4           0.409       0.621       0.880       0.964         0.970        0.909        0.966           0.965           0.966
 Mn(CO)5CN      0.577   0.631      0.888    0.965       0.971      0.901      0.959     0.963     0.961
 MnCp(CO)3      0.588   0.636      0.894    0.971       0.969      0.792      0.937     0.944     0.946
Co(C3H5)(CO)3   0.599   0.646      0.891    0.971       0.968      0.842      0.963     0.967     0.969
Mn(C5H5)(CO)3   0.589   0.638      0.894    0.971       0.969      0.792      0.940     0.948     0.949
    PR05        0.573   0.634      0.891    0.965       0.971      0.892      0.964     0.967     0.966
 Ni(C5H5)NO     0.626   0.666      0.892    0.967       0.971      0.876      0.968     0.968     0.968
  VCp(CO)4      0.570   0.627      0.895    0.966       0.972      0.783      0.930     0.942     0.938
Fe(C2H4)(CO)4   0.585   0.635      0.891    0.972       0.967      0.851      0.965     0.968     0.969
Fe(CO)4(C2H4)   0.583   0.633      0.891    0.972       0.967      0.848      0.962     0.966     0.967
    ED04        0.610   0.661      0.891    0.972       0.963      0.876      0.953     0.955     0.964
Fe(CO)2(NO)2    0.599   0.655      0.892    0.972       0.970      0.935      0.970     0.972     0.970
Fe(C4H6)(CO)3   0.577   0.645      0.891    0.973       0.966      0.820      0.950     0.957     0.958
    PR04        0.590   0.651      0.893    0.973       0.967      0.877      0.939     0.941     0.946
    ED05        0.591   0.655      0.892    0.967       0.971      0.893      0.971     0.973     0.973
Fe(C4H4)(CO)3   0.598   0.634      0.893    0.973       0.966      0.820      0.942     0.948     0.954
    ED14        0.579   0.626      0.898    0.954       0.973      0.842      0.934     0.937     0.936
 Mn(CO)4NO      0.590   0.654      0.892    0.966       0.971      0.916      0.971    0.974      0.973
   ch3nh2       0.479   0.611      0.884    0.967       0.974      0.930      0.972     0.971     0.974
Fe(CO)3(tmm)    0.592   0.616      0.892    0.974       0.964      0.810      0.937     0.946     0.951
   ethanol      0.469   0.624      0.894    0.970       0.974      0.929      0.972     0.971     0.974
    c2h6        0.488   0.595      0.885    0.969       0.974      0.908      0.962     0.961     0.964
 Mn(NO)3CO      0.595   0.648      0.894    0.969       0.975      0.921      0.966     0.969     0.968
    FeCp2       0.598   0.664      0.896    0.975       0.963      0.903      0.962     0.964     0.966
    PR40        0.621   0.653      0.913    0.975       0.972      0.887      0.957     0.961     0.970
 cyclopropane   0.513   0.564      0.889    0.971       0.975      0.922      0.966     0.964     0.968
   oxetane      0.513   0.624      0.894    0.968       0.974      0.933      0.973     0.972     0.975
   propene      0.478   0.587      0.884    0.972       0.975      0.922      0.967     0.966     0.970
Cr(C6H6)(CO)3     0.580   0.639      0.894    0.967       0.975      0.799      0.936     0.952     0.958
 tetrahedrane     0.512   0.617      0.889    0.970       0.969      0.946      0.974     0.973     0.976
 cyclobutene      0.525   0.590      0.886    0.971       0.976      0.930      0.968     0.967     0.970
     c2h4         0.488   0.557      0.876    0.973       0.975      0.941      0.975     0.974     0.976
   propyne        0.473   0.594      0.880    0.972       0.972      0.932      0.974     0.973     0.976
    ED15          0.624   0.649      0.889    0.960       0.968      0.936      0.975     0.975     0.976
 cyclopropene     0.489   0.591      0.881    0.972       0.973      0.944      0.975     0.974     0.976
    PR14          0.555   0.595      0.899    0.965       0.976      0.808      0.953     0.959     0.928
   propane        0.471   0.582      0.888    0.971       0.976      0.903      0.959     0.958     0.962
  Ni(C3H5)2       0.624   0.650      0.888    0.958       0.968      0.937      0.975     0.976     0.977
    PR02          0.595   0.624      0.892    0.970       0.969      0.924      0.975    0.977      0.977
   n-butane       0.451   0.585      0.890    0.972       0.977      0.895      0.959     0.958     0.961
    PR12          0.562   0.625      0.891    0.966       0.977      0.828      0.973    0.977      0.976
 cyclobutane      0.519   0.567      0.890    0.972       0.978      0.912      0.960     0.959     0.964
   Fe(CO)5        0.595   0.624      0.892    0.970       0.969      0.925      0.975    0.978      0.977
     c2h5f        0.491   0.644      0.909    0.973       0.977      0.913      0.976     0.975     0.978
  n-pentane       0.451   0.587      0.891    0.973       0.978      0.860      0.958     0.958     0.961
  t-butadiene     0.478   0.592      0.882    0.976       0.978      0.928      0.970     0.969     0.972
cyclopentadiene   0.534   0.612      0.889    0.975       0.978      0.938      0.971     0.970     0.973
    borole        0.514   0.599      0.876    0.977       0.978      0.896      0.975     0.974     0.976
    ED40a         0.601   0.659      0.884    0.962       0.954      0.942     0.978      0.976     0.975
    allene        0.468   0.588      0.880    0.971       0.972      0.952      0.977     0.976     0.978
    CuCN          0.750   0.748      0.860    0.932       0.975     0.979       0.951     0.945     0.953
     ch2c         0.529   0.643      0.840    0.966       0.967      0.933      0.979     0.977     0.979
  Cr(C6H6)2       0.581   0.653      0.897    0.979       0.972      0.886      0.966     0.969     0.971
Co(CO)3(NO)       0.615   0.675      0.891    0.975       0.970      0.951      0.978    0.979      0.978
cyclobutadiene    0.526   0.615      0.878    0.975       0.978      0.953      0.978     0.977     0.979
  Sc(acac)3     0.534   0.602      0.904    0.976       0.979      0.838      0.976     0.979     0.965
Fe(C5Me5)(P5)   0.643   0.682      0.918    0.980       0.971      0.824      0.899     0.902     0.898
    PMe3        0.574   0.657      0.909    0.976       0.980      0.901      0.972     0.971     0.973
   benzene      0.533   0.628      0.890    0.979       0.980      0.947      0.975     0.975     0.977
 beta-lactim    0.498   0.636      0.894    0.969       0.974      0.935      0.978     0.977     0.980
  methanol      0.507   0.636      0.893    0.967       0.972      0.946      0.980     0.979     0.980
 acetaldehyde   0.486   0.621      0.891    0.966       0.972      0.918      0.979     0.978     0.981
  Ni(acac)2     0.583   0.636      0.896    0.950       0.967      0.915     0.981      0.965     0.977
   pyrrole      0.506   0.631      0.893    0.979       0.981      0.949      0.977     0.976     0.979
   ch3ph2       0.622   0.693      0.920    0.977       0.981      0.924      0.979     0.978     0.981
    PR15        0.594   0.644      0.891    0.963       0.967      0.917      0.981    0.981      0.981
   oxirane      0.518   0.644      0.892    0.967       0.970      0.946      0.980     0.979     0.981
 CoH(CO)4       0.618   0.676      0.892    0.972       0.970      0.933      0.979    0.981      0.981
    ED28        0.561   0.652      0.911    0.977       0.981      0.886      0.968     0.969     0.968
     nh3        0.446   0.649      0.875    0.963       0.971      0.946     0.981      0.980     0.981
    ED31        0.534   0.597      0.901    0.981       0.981      0.791      0.962     0.960     0.941
    ED27        0.565   0.659      0.913    0.978       0.981      0.907      0.972     0.971     0.972
  TiCl2Me2      0.686   0.729      0.932    0.979       0.981      0.835      0.922     0.937     0.954
    PCy3        0.493   0.579      0.901    0.977       0.982      0.753      0.956     0.957     0.955
    AcCl        0.607   0.711      0.930    0.978       0.982      0.861      0.956     0.954     0.963
    ED30        0.547   0.618      0.904    0.980       0.982      0.801      0.971     0.974     0.964
    CuMe        0.750   0.758      0.863    0.921       0.975      0.959      0.982     0.981     0.982
  dithiotane    0.662   0.731      0.932    0.979       0.982      0.928      0.977     0.975     0.979
    PhSH        0.572   0.680      0.911    0.982       0.983      0.861      0.915     0.915     0.917
    furan       0.521   0.642      0.895    0.977       0.979      0.958      0.981     0.981     0.983
    silole      0.583   0.676      0.906    0.980       0.983      0.877      0.949     0.948     0.954
  thiophene     0.601   0.691      0.916    0.982       0.983      0.888      0.962     0.961     0.965
   bh3        0.514   0.694      0.828    0.963       0.965      0.942      0.983     0.983     0.983
Zn(CH3)2      0.686   0.697      0.884    0.949       0.980      0.958     0.984      0.983     0.983
  c2clh5      0.594   0.702      0.932    0.981       0.984      0.848      0.971     0.970     0.975
  ED02        0.616   0.659      0.887    0.955       0.966      0.940      0.982    0.984      0.984
  n2h4        0.450   0.625      0.882    0.969       0.976      0.954      0.983     0.983     0.984
   ocs        0.647   0.756      0.929    0.983       0.984      0.927      0.977     0.975     0.979
  c2clh3      0.621   0.714      0.932    0.984       0.985      0.866      0.952     0.950     0.958
  ch2nh       0.480   0.621      0.873    0.970       0.973      0.958      0.984     0.984     0.985
  PR06        0.585   0.640      0.891    0.965       0.978      0.887      0.981     0.984     0.985
  PR01        0.575   0.640      0.891    0.966       0.978      0.902      0.982    0.985      0.984
 VOCl3        0.734   0.776      0.946    0.979       0.985      0.900      0.971     0.975     0.983
  c2h3f       0.520   0.654      0.908    0.977       0.979      0.945      0.984     0.984     0.985
dioxetane     0.518   0.638      0.899    0.967       0.972      0.956      0.984     0.983     0.985
  acetic      0.508   0.651      0.902    0.971       0.974      0.941      0.984     0.983     0.985
 PhSeH        0.671   0.729      0.928    0.984       0.985      0.892      0.933     0.933     0.934
  cclh3       0.654   0.736      0.943    0.983       0.985      0.941      0.985     0.984     0.986
Ni(PH3)2      0.740   0.765      0.908    0.961       0.972      0.970      0.986    0.986      0.986
   c2h2       0.518   0.596      0.868    0.978       0.974      0.968      0.986     0.985     0.986
   ch3f       0.535   0.665      0.915    0.973       0.976      0.954      0.985     0.985     0.986
Cr(CO)6       0.576   0.647      0.891    0.966       0.978      0.906      0.983    0.986      0.986
 ED40b        0.640   0.703      0.932    0.982       0.986      0.871      0.981     0.981     0.982
TiCl3Me       0.720   0.771      0.948    0.984       0.986      0.821      0.964     0.968     0.977
  ketene      0.511   0.654      0.892    0.973       0.976      0.952      0.986     0.985     0.987
  c2clh       0.642   0.746      0.934    0.987       0.984      0.887      0.975     0.974     0.978
  ccl2o       0.684   0.773      0.955    0.987       0.987      0.954      0.985     0.984     0.988
cis-c2f2cl2   0.678   0.758      0.956    0.988       0.987      0.899      0.978     0.978     0.983
formamide     0.497   0.650      0.898    0.973       0.976      0.946      0.987     0.986     0.988
trans-c2f2cl2   0.678   0.756      0.956    0.988       0.987      0.910      0.978     0.978     0.983
    clcof       0.631   0.750      0.948    0.985       0.985      0.936      0.985     0.984     0.988
    cs2         0.741   0.784      0.942    0.985       0.986      0.974      0.988     0.987     0.989
  Ni(CO)4       0.626   0.684      0.889    0.968       0.973      0.969      0.988    0.989      0.988
   PR03         0.626   0.684      0.889    0.968       0.973      0.969      0.988    0.989      0.988
   c2cl6        0.724   0.780      0.968    0.988       0.989      0.945      0.981     0.981     0.986
    clcn        0.651   0.758      0.933    0.985       0.983      0.949      0.988     0.987     0.989
  oxirene       0.507   0.682      0.882    0.966       0.966      0.972      0.989     0.989     0.990
   ch2clf       0.639   0.741      0.949    0.984       0.985      0.917      0.988     0.987     0.990
    h2o         0.492   0.691      0.895    0.967       0.971      0.969     0.990      0.990     0.990
   c2cl4        0.733   0.787      0.965    0.990       0.990      0.955      0.981     0.981     0.984
 oxadiazole     0.539   0.653      0.891    0.976       0.979      0.964      0.989     0.989     0.990
   c2cl2        0.694   0.784      0.954    0.990       0.988      0.945      0.980     0.979     0.982
    h2co        0.520   0.649      0.886    0.972       0.975      0.969      0.990     0.990     0.990
   nh2oh        0.478   0.650      0.888    0.968       0.974      0.968      0.990     0.990     0.990
   ccl2h2       0.700   0.771      0.959    0.987       0.988      0.957      0.989     0.988     0.990
   nh2cl        0.642   0.745      0.938    0.982       0.987      0.960      0.990     0.990     0.991
   ED01         0.588   0.649      0.888    0.960       0.977      0.924      0.989    0.991      0.991
   c-hcoh       0.539   0.656      0.867    0.971       0.977      0.970      0.991     0.991     0.991
  glyoxal       0.541   0.688      0.892    0.975       0.977      0.966      0.990     0.990     0.991
dioxetan2one    0.519   0.655      0.908    0.972       0.974      0.931      0.989     0.989     0.991
    hnc         0.531   0.648      0.857    0.980       0.978      0.962     0.991      0.991     0.991
     sio        0.708   0.779      0.896    0.986       0.991      0.965      0.985     0.984     0.985
 dioxirane      0.518   0.672      0.892    0.966       0.972      0.967      0.991     0.991     0.992
  ch2-sing      0.509   0.526      0.792    0.732       0.968      0.972     0.992      0.991     0.991
    hccf        0.534   0.696      0.908    0.982       0.980      0.979      0.992     0.991     0.992
 Cr(NO)4        0.599   0.638      0.895    0.971       0.985      0.919      0.988     0.991     0.992
     t-hcoh        0.538   0.659      0.867    0.970       0.972      0.967      0.991     0.991     0.992
formic-anhydride   0.563   0.652      0.904    0.975       0.976      0.945      0.990     0.990     0.992
     hnnn          0.516   0.621      0.883    0.974       0.974      0.955      0.991     0.990     0.992
     ED03          0.651   0.699      0.884    0.943       0.972      0.976      0.991    0.992      0.991
 CrO2(NO3)2        0.588   0.648      0.903    0.964       0.978      0.908      0.991     0.992     0.992
    c-n2h2         0.509   0.577      0.867    0.973       0.977      0.978      0.992     0.992     0.992
      s2o          0.705   0.769      0.942    0.983       0.986      0.967      0.991     0.991     0.992
