Table S8:        Non-neutral and/or non-singlet molecules, revTPSSh/pcseg-0: fraction f of electron density covered.

  Molecule          GWH         CORE        SAD     SADNO            HUCKEL        GSZ     LDA-X            CAP-X        CHA-X

      ch            0.508       0.555       0.737       0.711         0.888        0.847       0.877        0.885         0.857
    bn3pi           0.571       0.646       0.789       0.901         0.902        0.972       0.929        0.909         0.909
  cyclopropyl       0.517       0.579       0.879       0.970         0.972        0.931       0.970        0.969         0.972
  Cu(acac)2         0.577       0.641       0.896       0.953         0.973        0.928       0.941        0.926         0.955
  Ti(BH4)3          0.611       0.619       0.894       0.969         0.919        0.815       0.968        0.971        0.974
     allyl          0.477       0.601       0.876       0.974         0.977        0.939       0.973        0.972         0.975
    ch2ch           0.494       0.610       0.859       0.969         0.969        0.943       0.978        0.977        0.979
    ch3nh           0.476       0.607       0.866       0.958         0.965        0.936       0.978        0.977        0.979
  V(NMe2)4          0.513       0.575       0.891       0.971         0.979        0.841       0.960        0.970         0.952
    ch2nh2          0.478       0.625       0.876       0.971         0.976        0.947       0.980        0.979        0.981
     ch3            0.461       0.665       0.847       0.968         0.973        0.943       0.981        0.980         0.981
     cch            0.512       0.696       0.840       0.979         0.965        0.946       0.982        0.981        0.982
    h2ccn           0.528       0.619       0.868       0.970         0.971        0.904       0.985        0.984        0.986
     h2cn           0.497       0.621       0.856       0.965         0.968        0.951       0.986        0.985        0.986
      clo           0.677       0.777       0.939       0.977         0.973        0.966       0.976        0.988         0.984
     hcnh           0.511       0.635       0.861       0.974         0.971        0.968       0.989        0.988        0.989
      so            0.682       0.763       0.921       0.986         0.991        0.972       0.990        0.989         0.990
      sif           0.703       0.783       0.909       0.974         0.992        0.970       0.965        0.970         0.964
   nh2          0.493     0.613      0.834        0.858           0.969        0.973   0.992            0.991         0.992
   cn           0.548     0.675      0.837        0.983           0.980        0.976    0.991           0.991         0.992
 ch2-trip       0.514     0.694      0.802        0.972           0.975        0.969   0.992            0.991         0.991
  h2no          0.493     0.659      0.889        0.970           0.976        0.968    0.993           0.992         0.993
 t-hooo         0.523     0.660      0.892        0.969           0.978        0.951    0.993           0.993         0.994
   hco          0.542     0.662      0.873        0.976           0.976        0.981    0.994           0.994         0.994
   n2h          0.530     0.601      0.861        0.975           0.973        0.977    0.994           0.994         0.995
 c-hooo         0.524     0.659      0.894        0.969           0.978        0.965   0.996            0.996         0.996
   oh           0.531     0.662      0.857        0.926           0.978        0.988    0.996           0.997         0.890
   hoo          0.515     0.659      0.888        0.971           0.978        0.982    0.997           0.997         0.997
   hs           0.734     0.775      0.929        0.941           0.987        0.987    0.942           0.998         0.995
   nh           0.552     0.656      0.788        0.966           0.977        0.991   0.998            0.998         0.998
   no           0.553     0.673      0.872        0.917           0.923        0.971    0.954           0.933         0.999
   sih          0.747     0.729      0.879        0.966           0.924        0.971   0.999            0.998         0.985
   no2          0.550     0.650      0.900        0.977           0.980        0.992    0.999           0.999         0.999
   ssh          0.730     0.783      0.947        0.986           0.989        0.988    0.999           0.999         0.999
    cf          0.583     0.682      0.873        0.982           0.981        0.941   0.999            0.935         0.966
   o2           0.560     0.685      0.887        0.982           0.990        0.994   1.000            1.000         1.000
   s2           0.746     0.801      0.944        0.992           0.995        0.996    1.000           1.000         1.000
  Best            0           0           0           0            7            1           8             3            18


