Table S9: Neutral singlet molecules, HF/pcseg-1: fraction f of electron density covered.

 Molecule             GWH         CORE        SAD     SADNO        HUCKEL           GSZ         LDA-X         CAP-X      CHA-X

Mn(NO)3CO             0.564       0.619       0.892       0.950        0.948        0.914       0.951         0.953         0.951
Ni(C5H5)NO            0.613       0.617       0.893       0.957        0.956        0.867       0.956         0.955         0.956
Fe(CO)2(NO)2          0.580       0.611       0.891       0.953        0.949        0.929       0.958         0.959         0.958
Mn(CO)5CN             0.568       0.547       0.889       0.950        0.958        0.900       0.956         0.960         0.958
     b2h6       0.494   0.560      0.865    0.942       0.946      0.897      0.958     0.957     0.960
Mn(C5H5)(CO)3   0.573   0.578      0.893    0.961       0.958      0.790      0.934     0.941     0.943
     ch4        0.466   0.633      0.872    0.953       0.960      0.904      0.961     0.960     0.961
 MnCp(CO)3      0.574   0.564      0.893    0.961       0.958      0.790      0.931     0.938     0.940
    ED14        0.571   0.587      0.897    0.951       0.961      0.830      0.924     0.927     0.926
Fe(C4H4)(CO)3   0.583   0.579      0.893    0.962       0.955      0.817      0.936     0.942     0.948
Fe(CO)4(C2H4)   0.573   0.555      0.892    0.961       0.957      0.842      0.957     0.961     0.962
Fe(C4H6)(CO)3   0.570   0.560      0.891    0.962       0.956      0.806      0.943     0.950     0.952
    PR05        0.563   0.551      0.892    0.952       0.960      0.877      0.958    0.962      0.961
Fe(CO)3(tmm)    0.573   0.565      0.892    0.963       0.956      0.806      0.932     0.940     0.944
    PR04        0.585   0.568      0.893    0.963       0.957      0.871      0.933     0.934     0.939
Co(C3H5)(CO)3   0.582   0.571      0.892    0.960       0.958      0.838      0.958     0.962     0.964
 tetrahedrane   0.512   0.614      0.880    0.962       0.964      0.934      0.961     0.959     0.963
Fe(C2H4)(CO)4   0.573   0.556      0.892    0.961       0.957      0.846      0.960     0.963     0.964
Cr(C6H6)(CO)3   0.563   0.578      0.893    0.961       0.965      0.795      0.937     0.945     0.950
    ED04        0.600   0.587      0.892    0.966       0.954      0.868      0.945     0.947     0.954
     c2h6       0.464   0.595      0.877    0.959       0.966      0.901      0.955     0.954     0.957
    ED15        0.604   0.592      0.890    0.954       0.956      0.925      0.964     0.965     0.966
  Ni(C3H5)2     0.604   0.592      0.890    0.953       0.955      0.926      0.965     0.965     0.967
 cyclopropene   0.503   0.592      0.875    0.964       0.967      0.934      0.965     0.964     0.967
 Mn(CO)4NO      0.570   0.574      0.892    0.953       0.957      0.913      0.965    0.968      0.967
   propene      0.498   0.592      0.877    0.962       0.968      0.913      0.959     0.958     0.962
 cyclopropane   0.486   0.563      0.881    0.962       0.968      0.911      0.955     0.954     0.958
  cyclobutene   0.502   0.590      0.879    0.962       0.968      0.918      0.957     0.955     0.960
    ED05        0.576   0.574      0.892    0.954       0.959      0.892      0.966     0.968     0.968
     c2h4       0.492   0.638      0.870    0.964       0.968      0.932      0.967     0.966     0.968
   oxetane      0.527   0.623      0.887    0.961       0.969      0.924      0.965     0.964     0.968
    PR14          0.543   0.548      0.897    0.961       0.969      0.792      0.946     0.953     0.921
   propyne        0.505   0.604      0.876    0.963       0.965      0.925      0.967     0.966     0.969
   propane        0.485   0.585      0.880    0.962       0.969      0.895      0.952     0.951     0.955
    ch3nh2        0.502   0.621      0.877    0.959       0.967      0.923      0.967     0.966     0.969
   Cr(NO)4        0.554   0.591      0.893    0.953       0.957      0.909      0.967     0.969     0.969
    ethanol       0.548   0.635      0.888    0.963       0.969      0.921      0.967     0.966     0.969
  VCp(CO)4        0.553   0.550      0.895    0.959       0.970      0.779      0.924     0.936     0.933
    allene        0.523   0.594      0.875    0.962       0.965      0.942      0.968     0.967     0.970
   n-butane       0.492   0.588      0.882    0.964       0.970      0.884      0.951     0.950     0.954
 cyclobutane      0.492   0.565      0.882    0.964       0.971      0.900      0.950     0.948     0.954
  n-pentane       0.507   0.591      0.883    0.965       0.971      0.847      0.951     0.951     0.954
cyclopentadiene   0.511   0.613      0.882    0.967       0.971      0.926      0.960     0.959     0.963
    PR15          0.598   0.610      0.892    0.957       0.958      0.912      0.971    0.971      0.971
    FeCp2         0.596   0.585      0.895    0.972       0.952      0.890      0.948     0.950     0.953
  beta-lactim     0.540   0.646      0.889    0.964       0.969      0.922      0.968     0.967     0.972
     ch2c         0.525   0.656      0.835    0.954       0.956      0.927      0.972     0.970     0.972
  t-butadiene     0.519   0.597      0.877    0.968       0.972      0.920      0.961     0.961     0.964
cyclobutadiene    0.519   0.619      0.872    0.968       0.972      0.941      0.967     0.966     0.969
    PR40          0.617   0.603      0.913    0.972       0.972      0.881      0.954     0.957     0.965
Co(CO)3(NO)       0.589   0.596      0.892    0.961       0.956      0.947      0.971    0.973      0.971
    borole        0.543   0.605      0.871    0.913       0.973      0.886      0.965     0.964     0.967
Fe(C5Me5)(P5)     0.637   0.661      0.916    0.973       0.964      0.816      0.894     0.897     0.894
     c2h5f        0.570   0.656      0.904    0.967       0.972      0.906      0.971     0.970     0.973
    ED40a         0.558   0.524      0.885    0.961       0.957      0.936     0.973      0.971     0.970
  Ni(acac)2       0.570   0.592      0.895    0.956       0.961      0.908     0.973      0.957     0.969
    PMe3          0.565   0.566      0.901    0.968       0.973      0.893      0.966     0.966     0.968
    PR02          0.582   0.562      0.893    0.959       0.960      0.922      0.971    0.973      0.973
   PR12        0.554   0.533      0.891    0.957       0.964      0.822      0.970    0.974      0.972
 Fe(CO)5       0.582   0.562      0.893    0.959       0.960      0.922      0.972    0.974      0.973
   furan       0.546   0.648      0.890    0.971       0.974      0.947      0.972     0.971     0.974
   silole      0.599   0.668      0.900    0.970       0.974      0.868      0.938     0.936     0.942
   ED28        0.596   0.592      0.904    0.970       0.974      0.878      0.962     0.963     0.962
  oxirane      0.537   0.648      0.886    0.961       0.966      0.937      0.973     0.972     0.974
acetaldehyde   0.544   0.633      0.887    0.960       0.967      0.911      0.972     0.971     0.974
   ED27        0.591   0.576      0.906    0.970       0.975      0.898      0.966     0.966     0.967
  pyrrole      0.516   0.637      0.887    0.972       0.975      0.937      0.967     0.965     0.969
